idrebap,barrio_nombre,provincia_id,provincia_nombre,departamento_nombre,localidad_nombre,geojson
2553,Saldias,02,Ciudad Autonoma De Buenos Aires,Comuna 2,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.400264867999965,-34.574093963999928],[-58.400839786999938,-34.573766044999957],[-58.401465707999932,-34.57319687599994],[-58.401588823999987,-34.573282358999961],[-58.401093165999953,-34.573888843999953],[-58.400463808594175,-34.574492600729442],[-58.400031054967712,-34.5748015378808],[-58.399852659917883,-34.574918607309172],[-58.39929547700261,-34.575151393849],[-58.399344861352596,-34.575305763391249],[-58.399264668299089,-34.575355851967529],[-58.397866851999936,-34.57562861599996],[-58.397795591999966,-34.575386378999951],[-58.399104142999931,-34.574740322999958],[-58.399196057729441,-34.5749032723526],[-58.399639675999936,-34.574613502999966],[-58.399603182999954,-34.574454314999969],[-58.400264867999965,-34.574093963999928]]]]}"
2554,Zavaleta,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.403460999999936,-34.650754999999947],[-58.403543257507025,-34.650256201291846],[-58.403030091459406,-34.650171038812971],[-58.40299263102002,-34.650153300328085],[-58.402067656723709,-34.650030330359947],[-58.402036513210938,-34.650036436006566],[-58.401950416199064,-34.65003826985874],[-58.401889939643553,-34.650079336466568],[-58.401802049954718,-34.650305151996996],[-58.401683490291248,-34.650365859223243],[-58.400892712312618,-34.650234164191282],[-58.400971189991772,-34.649803490811863],[-58.402065451456288,-34.649971165048527],[-58.402055383425122,-34.650024094944413],[-58.40289518016975,-34.650136815738911],[-58.40291812287672,-34.650078698299311],[-58.402961381727494,-34.650079352614881],[-58.4032237819029,-34.6485564596946],[-58.403353011896,-34.648077481629919],[-58.404322999999977,-34.649343999999928],[-58.404465999999957,-34.64952999999997],[-58.404636257507057,-34.649751600697726],[-58.404499999999985,-34.649839999999983],[-58.404406613739333,-34.649905918087711],[-58.40437984121813,-34.650050965889918],[-58.404289631067918,-34.650104184465953],[-58.4041154174757,-34.650074417475665],[-58.404077650485377,-34.650199116504837],[-58.40402794174755,-34.650473019417419],[-58.403598485436866,-34.650571485436842],[-58.403506592752244,-34.650499685940019],[-58.403460999999936,-34.650754999999947]]],[[[-58.400488061476942,-34.652507054886328],[-58.400435929099636,-34.652490410437615],[-58.400387846846812,-34.652455695276345],[-58.400383281566434,-34.652394798819394],[-58.400393973028692,-34.652185429534661],[-58.400403805527709,-34.652015174208763],[-58.400440073502452,-34.651803745109973],[-58.400565413192247,-34.651239155020214],[-58.400636903211158,-34.6511917768599],[-58.401288183205729,-34.651216370913957],[-58.40135909505652,-34.651153679937423],[-58.401477711215804,-34.6511241551484],[-58.401648999999964,-34.651096999999936],[-58.403232999999943,-34.650807999999984],[-58.403460999999936,-34.650754999999947],[-58.404338999999936,-34.650610999999969],[-58.404393871246434,-34.650692034033789],[-58.404301833362865,-34.650930309885837],[-58.403809732891673,-34.651232099386071],[-58.403653628531238,-34.651366513882472],[-58.403508650485392,-34.651491999999955],[-58.403426214078344,-34.651568234257724],[-58.40338185221875,-34.651695377874304],[-58.403207297226608,-34.65161333058316],[-58.403035138616566,-34.651769829807954],[-58.402810292280684,-34.651890818976661],[-58.402758516592584,-34.651898065803955],[-58.402699474166575,-34.651975758893848],[-58.402593545638005,-34.652001056177006],[-58.402543384036029,-34.65203090723454],[-58.402397079439133,-34.652045174419825],[-58.402330524705391,-34.652210978821451],[-58.401123999999982,-34.652405999999928],[-58.400707999999952,-34.652469999999937],[-58.400488061476942,-34.652507054886328]]]]}"
2555,Riachuelo,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.382735215999958,-34.657139551999933],[-58.382883294999942,-34.657153865999931],[-58.382833267999956,-34.657490808999967],[-58.382360195999979,-34.65755781699994],[-58.380480567411389,-34.657520108999961],[-58.380488625705681,-34.657314587852817],[-58.380622037999956,-34.657308903999933],[-58.38118066661854,-34.657325749999984],[-58.381272977732756,-34.657129179324244],[-58.382735215999958,-34.657139551999933]]]]}"
2556,La Robustiana,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.403529122004379,-34.653161782647643],[-58.403520250796682,-34.653206537768547],[-58.403256956547359,-34.653134281043073],[-58.403058059203659,-34.65307549071489],[-58.402687999999955,-34.65296399999994],[-58.402443732990072,-34.652884452636165],[-58.402414145983293,-34.6529001096819],[-58.402345349356111,-34.652830535803034],[-58.402347071110796,-34.652780823557833],[-58.40233881331875,-34.652698910480318],[-58.402330308300073,-34.65224511726251],[-58.402407465205677,-34.652080930411337],[-58.402702072540912,-34.6519927565262],[-58.402779072279223,-34.651911766451853],[-58.403008088460751,-34.651814931261008],[-58.403209247853326,-34.651621217352229],[-58.4033943260284,-34.651708147763628],[-58.403425891323813,-34.651576434704545],[-58.403650972853676,-34.65137212930982],[-58.403778421398194,-34.651263451344654],[-58.40380364347044,-34.651243969498836],[-58.4039188217352,-34.651170573881771],[-58.404283070374838,-34.6509478460339],[-58.404223957281495,-34.6511606951456],[-58.404094999999984,-34.651427999999953],[-58.403975304854349,-34.651749652427142],[-58.403858999999954,-34.652029999999968],[-58.403539304854313,-34.651976978640732],[-58.403482999999937,-34.65206965242713],[-58.40332932621353,-34.652077631067911],[-58.403232299622125,-34.652074912950333],[-58.403128978640723,-34.65210097864076],[-58.402926304854326,-34.652143326213562],[-58.4028233048543,-34.652223304854338],[-58.402675652427135,-34.652405652427134],[-58.402589652427118,-34.65253297864075],[-58.402481999999964,-34.652670999999941],[-58.402426806484634,-34.652743371780055],[-58.402428317441981,-34.652798178264725],[-58.402862999999968,-34.652946999999983],[-58.403301356529482,-34.653082586284292],[-58.403529122004379,-34.653161782647643]]]]}"
2557,El Pueblito,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.41607799999997,-34.658449999999959],[-58.416241488999958,-34.65851184099995],[-58.416200940999943,-34.658808654999973],[-58.415824289709121,-34.6587421520192],[-58.41568099999995,-34.658705999999938],[-58.415106344478836,-34.658496842211377],[-58.415289548999965,-34.658173484999963],[-58.41607799999997,-34.658449999999959]]]]}"
2558,Anexo Villa 26,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.385921741580539,-34.658096383875687],[-58.386312147959217,-34.658285858646536],[-58.386188087937811,-34.65846093316695],[-58.385190944999977,-34.657868257999951],[-58.385352730999955,-34.657709462999946],[-58.385863356999948,-34.657984125999974],[-58.385921741580539,-34.658096383875687]]]]}"
2559,El Campito,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.422816853999961,-34.648251390407175],[-58.422753307296361,-34.648232853877758],[-58.422671349110814,-34.648241317814438],[-58.422446211766925,-34.648251577359709],[-58.422429963640241,-34.648287770079158],[-58.422379064984128,-34.648289460359706],[-58.422373052880069,-34.648269645718784],[-58.422280297150458,-34.648280107955443],[-58.422263962999978,-34.648187631999974],[-58.42205637099994,-34.648248601999967],[-58.421990756803019,-34.647993353561041],[-58.422495319094985,-34.647834376984129],[-58.422523051536025,-34.647804973916251],[-58.422594852838934,-34.647774158022564],[-58.423001453343836,-34.648101260687746],[-58.422869623383896,-34.648227004743383],[-58.422816853999961,-34.648251390407175]]]]}"
2560,19 De Octubre (lamadrid),02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.353970272018074,-34.63434416062092],[-58.353726693574409,-34.634245327433362],[-58.353683909971572,-34.633240913520041],[-58.354434663501934,-34.63356613331041],[-58.353970272018074,-34.63434416062092]]]]}"
2561,Alegre Pavimentos,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.399744868765794,-34.655291946266289],[-58.3995425820889,-34.6562725919594],[-58.39946467332588,-34.656369701380925],[-58.399295366887657,-34.656387478799047],[-58.399086115926075,-34.656367376007665],[-58.398969270659073,-34.655860428808573],[-58.398789553790905,-34.655282042157154],[-58.398698152881181,-34.654857953504937],[-58.398576794804768,-34.654619463968238],[-58.398518994755761,-34.654520646310743],[-58.398499504485386,-34.654499271706428],[-58.39850232182242,-34.654351239039],[-58.398512910420187,-34.654264810462855],[-58.398611600919317,-34.654017513749771],[-58.398506064836447,-34.653974443618672],[-58.398596198355861,-34.653650419321018],[-58.398416136823613,-34.653577893836562],[-58.398571409043257,-34.65306984649618],[-58.398611280032554,-34.652931989567811],[-58.398737808788511,-34.652571425374653],[-58.399275872602921,-34.651008117004189],[-58.399469940904368,-34.65101989474703],[-58.399870549021536,-34.651053071379515],[-58.400500745109966,-34.651140490219944],[-58.400377986787113,-34.651984608858953],[-58.40036699999996,-34.652477999999974],[-58.400351999999941,-34.652564999999981],[-58.400278999999955,-34.652859999999976],[-58.400203999999974,-34.653140999999948],[-58.39996112600511,-34.65434380362359],[-58.399964999999952,-34.654433999999981],[-58.399889607419425,-34.654859590897331],[-58.399804618788096,-34.655090812890649],[-58.399747922254718,-34.655210259941938],[-58.399744868765794,-34.655291946266289]]]]}"
2562,Puente Barracas,02,Ciudad Autonoma De Buenos Aires,Comuna 4,,"{""type"": ""MultiPolygon"",""coordinates"":[[[[-58.380649001405807,-34.647005125727965],[-58.380466026338894,-34.647946192418296],[-58.380372360778154,-34.647900231623325],[-58.380546513694512,-34.646969069338837],[-58.380649001405807,-34.647005125727965]]]]}"
